高槻市駅 時刻表（阪急京都本線 大阪梅田・天下茶屋方面）平日,,,,,
時,発車時刻,種別,行き先,,
5時,05:11,普通,大阪梅田,,
5時,05:30,普通,大阪梅田,,
5時,05:44,急行,大阪梅田,,
5時,05:49,普通,大阪梅田,,
5時,05:59,急行,大阪梅田,,
6時,06:07,普通,大阪梅田（当駅始発）,,
6時,06:12,急行,大阪梅田,,
6時,06:13,普通,大阪梅田,,
6時,06:17,普通,大阪梅田,,
6時,06:22,準特急,大阪梅田,,
6時,06:28,普通,大阪梅田,,
6時,06:37,準特急,大阪梅田,,
6時,06:38,普通,大阪梅田,,
6時,06:42,普通,大阪梅田,,
6時,06:46,準急,天下茶屋,,
6時,06:51,準特急,大阪梅田,,
6時,06:52,普通,大阪梅田（当駅始発）,,
6時,06:57,準急,大阪梅田,,
7時,07:00,準特急,大阪梅田,,
7時,07:01,普通,大阪梅田（当駅始発）,,
7時,07:05,準急,大阪梅田,,
7時,07:10,準特急,大阪梅田,,
7時,07:12,普通,大阪梅田（当駅始発）,,
7時,07:16,準急,天下茶屋,,
7時,07:20,通勤特急,大阪梅田,,
7時,07:22,普通,大阪梅田（当駅始発）,,
7時,07:29,準特急,大阪梅田,,
7時,07:30,準急,天下茶屋,,
7時,07:33,普通,大阪梅田（当駅始発）,,
7時,07:39,通勤特急,大阪梅田,,
7時,07:40,普通,大阪梅田,,
7時,07:42,普通,大阪梅田（当駅始発）,,
7時,07:48,準特急,大阪梅田,,
7時,07:49,準急,天下茶屋,,
7時,07:52,普通,大阪梅田（当駅始発）,,
7時,07:56,通勤特急,大阪梅田,,
7時,07:58,普通,大阪梅田,,
8時,08:05,準特急,大阪梅田,,
8時,08:06,準急,天下茶屋,,
8時,08:09,普通,天下茶屋（当駅始発）,,
8時,08:14,準特急,大阪梅田,,
8時,08:16,普通,大阪梅田,,
8時,08:23,準特急,大阪梅田,,
8時,08:24,準急,天下茶屋,,
8時,08:27,普通,大阪梅田（当駅始発）,,
8時,08:32,準特急,大阪梅田,,
8時,08:33,普通,天下茶屋,,
8時,08:41,準特急,大阪梅田,,
8時,08:42,準急,天下茶屋,,
8時,08:44,普通,大阪梅田（当駅始発）,,
8時,08:50,準特急,大阪梅田,,
8時,08:53,普通,天下茶屋,,
8時,08:59,準特急,大阪梅田,,
