高槻駅 時刻表（JR京都線 京都・野洲方面）2026年06月16日,,,
時,発車時刻,種別,行き先
4時,04:58,普通,京都（当駅始発）
5時,05:25,普通,京都
5時,05:39,普通,京都
6時,06:04,普通,京都
6時,06:12,快速,長浜
6時,06:15,普通,京都（当駅始発）
6時,06:26,普通,京都
6時,06:36,快速,米原
6時,06:38,普通,京都
6時,06:45,特急,敦賀
6時,06:48,新快速,米原
6時,06:54,快速,米原
6時,06:56,普通,京都
7時,07:06,新快速,野洲
7時,07:07,普通,京都
7時,07:14,快速,米原
7時,07:15,特急,敦賀
7時,07:16,普通,京都
7時,07:19,新快速,米原
7時,07:25,新快速,野洲
7時,07:27,普通,京都
7時,07:33,快速,米原
7時,07:36,新快速,近江塩津
7時,07:37,普通,京都
7時,07:47,快速,米原
7時,07:50,新快速,野洲
7時,07:51,普通,草津
7時,07:54,特急,敦賀
7時,07:57,普通,京都
8時,08:04,普通,米原
8時,08:04,新快速,米原
8時,08:04,新快速,敦賀
8時,08:10,普通,野洲
8時,08:11,普通,京都
8時,08:14,新快速,野洲
8時,08:20,普通,近江今津
8時,08:22,新快速,長浜
8時,08:25,普通,京都
8時,08:25,特急,敦賀
8時,08:32,新快速,近江今津
8時,08:33,普通,米原
8時,08:38,普通,京都
8時,08:42,新快速,野洲
8時,08:46,普通,京都
8時,08:52,普通,野洲
8時,08:52,新快速,草津
9時,09:02,新快速,野洲
9時,09:04,普通,京都
9時,09:10,普通,米原
9時,09:12,新快速,草津
9時,09:17,普通,京都
9時,09:22,新快速,野洲
9時,09:30,普通,野洲
9時,09:32,新快速,敦賀
9時,09:35,普通,京都
9時,09:45,普通,米原
9時,09:46,新快速,近江塩津
9時,09:59,普通,野洲
10時,10:01,新快速,野洲
10時,10:14,普通,米原
10時,10:16,新快速,草津
10時,10:28,普通,野洲
10時,10:31,新快速,敦賀
10時,10:43,普通,米原
10時,10:46,新快速,近江塩津
10時,10:58,普通,野洲
11時,11:01,新快速,野洲
11時,11:13,普通,米原
11時,11:16,新快速,草津
11時,11:28,普通,野洲
11時,11:31,新快速,敦賀
11時,11:43,普通,米原
11時,11:46,新快速,近江塩津
11時,11:58,普通,野洲
12時,12:01,新快速,野洲
12時,12:13,普通,米原
12時,12:16,新快速,草津
12時,12:28,普通,野洲
12時,12:31,新快速,敦賀
12時,12:43,普通,米原
12時,12:46,新快速,近江塩津
12時,12:58,普通,野洲
13時,13:01,新快速,野洲
13時,13:13,普通,米原
13時,13:16,新快速,草津
13時,13:28,普通,野洲
13時,13:31,新快速,敦賀
13時,13:43,普通,米原
13時,13:46,新快速,近江塩津
13時,13:58,普通,野洲
14時,14:01,新快速,野洲
14時,14:13,普通,米原
14時,14:16,新快速,長浜
