高槻駅 時刻表（JR京都線 姫路・西明石方面）平日,,,
時,発車時刻,種別,行き先
4時,04:58,普通,加古川（当駅始発）
5時,05:08,普通,西明石（当駅始発）
5時,05:16,普通,加古川（当駅始発）
5時,05:24,普通,西明石
5時,05:29,普通,西明石（当駅始発）
5時,05:37,快速,西明石
5時,05:39,普通,尼崎（当駅始発）
5時,05:47,普通,神戸
5時,05:59,快速,網干
6時,06:01,普通,西明石
6時,06:02,特急,関西空港
6時,06:14,普通,西明石
6時,06:23,快速,網干
6時,06:25,普通,西明石
6時,06:32,普通,尼崎
6時,06:34,特急,関西空港
6時,06:36,快速,姫路
6時,06:39,普通,西明石（当駅始発）
6時,06:47,普通,西明石
6時,06:47,新快速,姫路
6時,06:49,快速,網干
6時,06:53,普通,西明石
6時,06:59,普通,尼崎（当駅始発）
7時,07:00,特急,関西空港
7時,07:02,快速,姫路
7時,07:07,普通,西明石
7時,07:07,新快速,姫路
7時,07:09,快速,網干
7時,07:13,普通,西明石（当駅始発）
7時,07:18,普通,西明石
7時,07:21,快速,網干
7時,07:25,普通,西明石（当駅始発）
7時,07:27,新快速,姫路
7時,07:30,普通,尼崎
7時,07:30,特急,関西空港
7時,07:33,快速,姫路
7時,07:35,普通,西明石（当駅始発）
7時,07:39,新快速,姫路
7時,07:40,普通,尼崎
7時,07:43,快速,姫路
7時,07:45,普通,西明石（当駅始発）
7時,07:49,新快速,姫路
7時,07:50,普通,西明石
7時,07:53,快速,網干
7時,07:55,普通,尼崎（当駅始発）
7時,07:59,新快速,姫路
8時,08:00,新快速,姫路
8時,08:03,快速,姫路
8時,08:05,普通,尼崎（当駅始発）
8時,08:10,普通,西明石
8時,08:10,新快速,西明石
8時,08:13,快速,大阪
8時,08:16,普通,尼崎（当駅始発）
8時,08:22,普通,西明石
8時,08:22,新快速,姫路
8時,08:25,快速,網干
8時,08:30,新快速,姫路
8時,08:31,普通,西明石
8時,08:36,快速,大阪
8時,08:37,普通,甲子園口（当駅始発）
8時,08:40,快速,網干
8時,08:42,普通,西明石（当駅始発）
8時,08:46,新快速,姫路
8時,08:48,快速,加古川
8時,08:50,普通,西明石（当駅始発）
8時,08:55,普通,甲子園口
8時,08:57,新快速,姫路
9時,09:01,快速,西明石
9時,09:03,普通,新三田（当駅始発）
9時,09:07,普通,須磨
9時,09:14,新快速,姫路
9時,09:15,快速,網干
9時,09:17,普通,新三田（当駅始発）
9時,09:23,普通,須磨
9時,09:28,新快速,姫路
9時,09:31,快速,加古川
9時,09:33,新快速,姫路
9時,09:38,普通,須磨
9時,09:43,新快速,姫路
9時,09:46,快速,網干
9時,09:48,普通,宝塚（当駅始発）
9時,09:53,普通,須磨
9時,09:58,新快速,姫路
10時,10:01,快速,加古川
10時,10:03,普通,宝塚（当駅始発）
10時,10:09,普通,須磨
10時,10:13,新快速,姫路
10時,10:16,快速,網干
10時,10:18,普通,宝塚（当駅始発）
10時,10:24,普通,須磨
10時,10:28,新快速,姫路
10時,10:31,快速,加古川
10時,10:33,普通,宝塚（当駅始発）
10時,10:39,普通,須磨（当駅始発）
10時,10:43,新快速,姫路
10時,10:46,快速,網干
10時,10:48,普通,宝塚（当駅始発）
10時,10:54,普通,須磨（当駅始発）
10時,10:58,新快速,姫路
11時,11:01,快速,加古川
11時,11:03,普通,宝塚（当駅始発）
11時,11:09,普通,須磨（当駅始発）
11時,11:13,新快速,姫路
11時,11:16,快速,網干
11時,11:18,普通,宝塚（当駅始発）
11時,11:24,普通,須磨（当駅始発）
11時,11:28,新快速,姫路
11時,11:31,快速,加古川
11時,11:33,普通,宝塚（当駅始発）
11時,11:39,普通,須磨（当駅始発）
11時,11:43,新快速,姫路
11時,11:46,快速,網干
11時,11:48,普通,宝塚（当駅始発）
11時,11:54,普通,須磨（当駅始発）
11時,11:58,新快速,姫路
12時,12:01,快速,加古川
12時,12:03,普通,宝塚（当駅始発）
12時,12:09,普通,須磨（当駅始発）
12時,12:13,新快速,姫路
12時,12:16,快速,網干
12時,12:18,普通,宝塚（当駅始発）
12時,12:24,普通,須磨（当駅始発）
12時,12:28,新快速,姫路
12時,12:31,快速,加古川
12時,12:33,普通,宝塚（当駅始発）
12時,12:39,普通,須磨（当駅始発）
12時,12:43,新快速,姫路
12時,12:46,快速,網干
12時,12:48,普通,宝塚（当駅始発）
12時,12:54,普通,須磨（当駅始発）
12時,12:58,新快速,姫路
13時,13:01,快速,加古川
13時,13:03,普通,宝塚（当駅始発）
13時,13:09,普通,須磨（当駅始発）
13時,13:13,新快速,姫路
13時,13:16,快速,網干
13時,13:18,普通,宝塚（当駅始発）
13時,13:24,普通,須磨（当駅始発）
13時,13:28,新快速,姫路
13時,13:31,快速,加古川
13時,13:33,普通,宝塚（当駅始発）
13時,13:39,普通,須磨（当駅始発）
13時,13:43,新快速,姫路
13時,13:46,快速,網干
13時,13:48,普通,宝塚（当駅始発）
13時,13:54,普通,須磨（当駅始発）
13時,13:58,新快速,姫路
14時,14:01,快速,加古川
14時,14:03,普通,新三田（当駅始発）
14時,14:09,普通,須磨（当駅始発）
14時,14:13,新快速,姫路
14時,14:16,快速,網干
14時,14:18,普通,新三田（当駅始発）
14時,14:24,普通,須磨（当駅始発）
14時,14:28,新快速,姫路
14時,14:31,快速,網干
14時,14:33,普通,新三田（当駅始発）
